# KFB 파생거래 조회 대상 (2차 목록) - 사업자등록번호,기업명
# 출처: DART OpenAPI 기업개황(company.json) bizr_no, 2026-09-01 조회
# 한 줄에 하나. '#' 로 시작하는 줄은 무시된다.,
2028145975,삼성물산(주)
1048609535,CJ제일제당(주)
1168119123,GS칼텍스(주)
2028133028,(주)지에스글로벌
2028116577,한화솔루션(주)
1018109147,현대자동차(주)
8808701070,효성티앤씨(주)
1218110385,현대제철(주)
1168118686,(주)LX인터내셔널
1108114794,(주)대한항공
1188115012,롯데케미칼(주)
5128106559,노벨리스코리아 주식회사
1048158195,(주)포스코인터내셔널
3018702315,주식회사 포스코
3148129147,(주)엘엑스세미콘
1018632319,SK이노베이션(주)
1018660120,SK에너지 주식회사
1018660116,에스케이지오센트릭 주식회사
1018702452,에스케이넥실리스 주식회사
2428702258,에스케이온 주식회사
1168136743,S-Oil(주)
3168104477,한화토탈에너지스 주식회사
4548703296,(주)삼양바이오팜
1018666838,(주)삼양사
1208152780,삼성중공업
2528701412,HD현대중공업
6208100012,HD한국조선해양
1048157667,한화오션
1168119273,LS ELECTRIC
1388147634,LS케이블
2668600531,HD현대일렉트릭
5788700896,효성중공업
1078100237,두산
6098104684,두산에너빌리티
5288800622,HD건설기계
6098148213,HD현대마린엔진
1068197118,현대글로비스
5148134202,현대코퍼레이션
